Patron ID,First Name,Last Name,Date Entered,Primary Email,Company,Salutation,Title,Tags,Gender
8977,James,Baker,"Jan 19, 2020",walkerjeremy@long.org,,Dr,,Student Scholar,Unknown
2798,Jessica,Sheppard,"Aug 20, 2019",tarasanchez@robinson.com,,Mr,Graphic Designer,"Summer School 2016, Top Donor",Married
3660,,,"Mar 20, 2018",wcochran@hotmail.com,Vaughn LLC,,,Summer School 2016,Married
5966,Jared,Burns,"Apr 24, 2024",frazierjanice@gmaill.com,,Dr,Administrative Assistant,"Pitch Perfect Staff, Major Donor 2021",Single
5034,courtney,haney,"Jul 02, 2017",,Lawrence LLC,Mr,,"Pitch Perfect Volunteer, Pitch Perfect Staff",Unknown
5287,,,"Oct 30, 2021",theodorewilson@blair.com,Retired,,,"Top Donor, Student Scholar, Board Member, Student Scholar",Unknown
8101,James,Pope,"May 09, 2019",howardcarlos@gmail.com,,Ms,Sales Executive,,Married
8548,Nicholas,Cooper,"Sep 25, 2022",laurenfields@yahoo.com,,,,"Summer School 2016, Pitch Perfect Staff, Board Member",Unknown
7040,Patrick,Woods,04/19/2022,vanessa45@yaho.com,,,,Summer School 2016,Unknown
6523,Michele,Burton,"Dec 31, 2016",browneric@patton.biz,,Mr,,"Major Donor 2021, Top Donor, Camp 2016",Unknown
9432,,,"Feb 13, 2021",joshuaparker@hotmal.com,"Green, Evans and Evans",,Marketing Manager,"Summer School 2016, Student Scholar",Married
3194,David,Villanueva,"Dec 16, 2022",collierdiana@ortiz.com,,,Marketing Manager,"Camp 2016, Pitch Perfect Volunteer, Student Scholar",Unknown
6339,Allen,Valentine,"Oct 15, 2022",mckaylinda@hotmail.com,,,Operations Manager,"Student Scholar, Major Donor 2021",Single
3054,cody,WRIGHT,"Aug 05, 2022",yjohns@bass.com,,Dr,,"Top Donor, Board Member, Top Donor",Unknown
9827,Cynthia,Vasquez,"Sep 12, 2021",ryan82@yahoo.com,,Ms,Business Analyst,"Board Member, Major Donor 2021",Married
1288,Rebecca,Maynard,"Jun 23, 2021",fsteele@hotmail.com,,Mrs,Data Scientist,"Summer School 2016, Major Donor 2021",Single
5032,,,"Mar 21, 2018",simpsondouglas@ortiz-miles.net,Johnson-Mills,,,"Major Donor 2021, Major Donor 2022, Pitch Perfect Staff, Top Donor",Unknown
3240,,,"Mar 09, 2018",hartjames@hotmail.com,Davis-Anthony,,Nurse Practitioner,Pitch Perfect Staff,Unknown
8308,Robert,Donovan,"Jan 20, 2021",jennifernorton@hotmail.com,,Ms,,"Pitch Perfect Staff, Pitch Perfect Volunteer",Unknown
3434,Anne,Martinez,05/23/2018,alejandro66@patrick-curry.biz,,Dr,Financial Analyst,"Major Donor 2021, Major Donor 2021, Top Donor, Board Member, Top Donor",Single
5049,Robert,Powers,"Apr 02, 2017",sperez@martinez.com,,Mrs,,"Top Donor, Camp 2016, Pitch Perfect Volunteer",Unknown
6846,James,Nichols,"Feb 04, 2022",andreahines@yahoo.com,,Rev,,"Major Donor 2021, Major Donor 2021, Summer School 2016, Top Donor",Unknown
6020,Katherine & Dan,Johnson,"Dec 26, 2015",,,,UX Designer,"Top Donor, Student Scholar, Pitch Perfect Staff",Unknown
4348,,,"Nov 27, 2015",cmarshall@hobbs.net,Ramos PLC,,,"Summer School 2016, Top Donor, Student Scholar, Summer School 2016, Top Donor",Unknown
2976,,,"May 25, 2022",,,,,,
